source,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global
released_dinov3,jar,79,5,5,29.8313483488154,35.33035521895342,0.033521783471101796,24.848468509815863,0.0013490482706352597
released_dinov3,chair,95,5,5,29.228332128331317,36.25935834136232,0.034213378841096785,25.5295960430118,0.0013401457188533146
released_dinov3,toy,100,5,5,30.017171322504463,35.52635044100267,0.0333142650003893,24.993621485971293,0.0013329106795943243
released_dinov3,dish,90,5,5,28.906662333412516,37.01435348596312,0.03459410112678848,26.10334401695225,0.001325274689109644
released_dinov3,stick,73,5,5,30.28882990985049,35.650438455457596,0.03301547147830829,25.030537775987124,0.0013190076766940845
released_dinov3,bottle,85,5,5,30.021006305004448,36.220229890599846,0.033310009326146466,25.47069035267626,0.0013077780329046524
released_dinov3,bucket,71,5,5,30.76213884999459,35.4622662550935,0.03250749256663523,24.902481909764898,0.0013053916747907852
released_dinov3,tree,99,5,5,29.684987068017332,37.03588125609319,0.03368706200574371,26.03550110604296,0.0012938895191045424
released_dinov3,bowl,88,5,5,30.84494348967886,36.63991337042235,0.032420224739092604,25.78035293475291,0.0012575555044240256
released_dinov3,bird,63,5,5,31.26099150350338,38.82236021675788,0.03198874865782588,27.25417105725679,0.0011737193764074672
released_dinov3,dog,71,5,5,32.55731188554197,39.45049041513982,0.030715066511497816,27.702267432995246,0.0011087564072431893
released_dinov3,car,69,5,5,33.285154904018405,39.68272191621172,0.030043423348445144,27.814822497207587,0.0010801227781144854
